Baby_laugh01,Baby_laugh02,Baby_laugh03,Baby_laugh04,Baby_laugh05,Baby_laugh06,Baby_laugh07,Baby_laugh08,Baby_laugh09,Baby_laugh10,Baby_laugh11,Baby_laugh12,Baby_laugh13,Baby_laugh14,Baby_laugh15,Baby_laugh16,Baby_laugh17,Baby_laugh18
141,138,135,98,98,192,165,130,123,138,133,145,169,51,67,110,173,150
141,138,135,98,98,192,165,130,123,138,133,145,169,51,67,110,173,150
141,138,135,98,98,192,165,130,123,138,133,145,169,51,67,110,173,149
141,138,135,98,98,192,165,130,123,138,133,145,169,51,67,110,173,149
0,,0,,,,,130,,,133,,,51,,110,,149
141,,135,,,,,0,,,0,,,0,,0,,0
141,,135,,,,,130,,,133,,,51,,110,,149
80,,135,,,,,130,,,133,,,51,,110,,149
80,,135,,,,,130,,,133,,,51,,110,,149
80,,135,,,,,130,,,133,,,51,,110,,149
,,,,,,,130,,,133,,,51,,110,,149
