T,File.Name,Min,1Q,Median,Mean,3Q,Max,Length
185,Adultfemale_laugh15.csv,1060,1060,1060,1060,1060,1060,1
186,Adultfemale_neutral01.csv,98.75,178.1,184.9,240.7,348.2,809.6,153
187,Adultfemale_neutral01.csv,178.1,178.1,178.1,178.1,178.1,178.1,1
188,Adultfemale_neutral02.csv,220.5,226.3,230.1,238.4,232.8,829.8,157
189,Adultfemale_neutral02.csv,240.1,240.1,240.1,240.1,240.1,240.1,1
190,Adultfemale_neutral03.csv,195.2,197.8,199.6,229.2,202.7,871.2,162
191,Adultfemale_neutral04.csv,226,253.8,257.5,268.6,260.4,895.7,307
192,Adultfemale_neutral05.csv,172.9,178.2,179.7,184.4,181.2,790.4,134
193,Adultfemale_neutral06.csv,214.4,223.7,227.1,267.2,228.9,850.1,179
194,Adultfemale_neutral06.csv,442.4,443.1,443.8,443.8,444.5,445.1,2
195,Adultfemale_neutral07.csv,277.5,304.3,308.5,310.8,312.7,821.9,145
196,Adultfemale_neutral08.csv,228.7,232.9,239.6,251.9,252.7,559.9,118
197,Adultfemale_neutral09.csv,123,245.6,246.6,252.1,247.7,525,164
198,Adultfemale_neutral10.csv,114.2,225.3,229.9,250.1,232.7,852.5,121
199,Adultfemale_neutral10.csv,215.7,215.9,216.1,216.1,216.3,216.5,2
200,Adultfemale_neutral11.csv,188.8,191.8,192.8,238.1,203.7,791.6,145
201,Adultfemale_neutral12.csv,238.9,247.6,249,265.3,251.6,744,194
202,Adultfemale_neutral13.csv,254.1,265.7,270.3,269.1,273,279.9,157
203,Adultfemale_neutral14.csv,274.7,278.7,281.6,281.1,283.9,286,126
204,Adultfemale_neutral15.csv,274.7,290.6,293.1,293.3,298.6,302.6,157
205,Adultmale_laugh01.csv,100.7,258.6,287.8,357,500.2,2271,261
206,Adultmale_laugh01.csv,178.9,205.1,205.5,367.1,517.7,728,5
207,Adultmale_laugh01.csv,410.6,410.6,410.6,410.6,410.6,410.6,1
208,Adultmale_laugh01.csv,387.8,388.4,389,389,389.6,390.2,2
209,Adultmale_laugh02.csv,69.92,546.2,586.1,536.3,658.5,724.7,206
210,Adultmale_laugh03.csv,46.88,197.7,210.1,470.7,270.4,1829,246
211,Adultmale_laugh03.csv,967.6,969.4,971.1,1274,1428,1884,3
